Lingua;PT Todas Palavras;EN Apenas Substantivos;Divisões;Link do vídeo;Tamanho do vídeo
EN 1;0,3839;0,6039;734/1912 - 424/702;https://www.youtube.com/watch?v=egEraZP9yXQ&t;21:26
EN 2;0,5402;0,7737;585/1083 - 294/380;https://www.youtube.com/watch?v=CPBJgpK0Ulc&t;13:22
EN 3;0,461;0,6772;608/1319 - 300/443;https://www.youtube.com/watch?v=DkzQxw16G9w;15:43
EN 4;0,5505;0,7123;540/981 - 250/351;https://www.youtube.com/watch?v=VNqNnUJVcVs;10:30
EN 5;0,5471;0,5729;441/806 - 169/295;https://www.youtube.com/watch?v=1AElONvi9WQ;08:05
EN 6;0,5795;0,7163;488/842 - 245/342;https://www.youtube.com/watch?v=JyECrGp-Sw8;07:59
EN 7;0,5401;0,5616;431/798 - 196/349;https://www.youtube.com/watch?v=7_e0CA_nhaE;08:34
EN 8;0,5874;0,6485;366/623 - 155/239;https://www.youtube.com/watch?v=YI3tsmFsrOg;07:08
EN 9;0,4448;0,5288;395/888 - 165/312;https://www.youtube.com/watch?v=wCrtk-pyP0I;08:15
EN 10;0,5751;0,6775;398/692 - 166/245;https://www.youtube.com/watch?v=SAQ-iIJkLzA;07:34
EN 11;0,4269;0,6955;713/1670 - 434/624;https://www.youtube.com/watch?v=ThwuT3_AG6w;18:22
EN 12;0,3451;0,5555;721/2089 - 425/765;https://www.youtube.com/watch?v=kTXTPe3wahc;20:00
EN 13;0,2467;0,3001;402/1629 - 193/643;https://www.youtube.com/watch?v=qH6yxkw0u78;15:50
EN 14;0,2878;0,5216;621/2157 - 398/763;https://www.youtube.com/watch?v=soerr09FYCw;18:28
EN 15;0,5283;0,6089;392/742 - 204/335;https://www.youtube.com/watch?v=yuD34tEpRFw;08:15
PT 1;0,3635;0,372;1079/2968 - 439/1180;https://www.youtube.com/watch?v=Ptbk2af68e8;28:49m
PT 2;0,5267;0,4159;1113/2113 -  396/952;https://www.youtube.com/watch?v=Mp0vhMDI7fA;21:52
PT 3;0,5051;0,4271;692/1370 - 211/494;https://www.youtube.com/watch?v=nIHq1MtJaKs;12:31
PT 4;0,3785;0,4208;924/2441 - 388/922;https://www.youtube.com/watch?v=Ofktsne-utM;22:27
PT 5;0,4236;0,3259;1413/3335 - 428/1313;https://www.youtube.com/watch?v=Gojqw9BQ5qY;30:39m
PT 6;0,5421;0,602;508/937 - 230/382;https://www.youtube.com/watch?v=iCbks6Q-xfM;08:33
PT 7;0,4661;0,5848;750/1609 - 379/648;https://www.youtube.com/watch?v=YHG3_MecK0A;15:57
PT 8;0,4837;0,5218;686/1418 - 323/619;https://www.youtube.com/watch?v=kjhu1LEmRpY;13:16
PT 9;0,502;0,497; 987/1966 - 342/688;https://www.youtube.com/watch?v=aFb2Dx7OsHA;19:50
PT 10;0,6334;0,6436;470/742 - 177/275;https://www.youtube.com/watch?v=FBGDuYQccRY;08:38
PT 11;0,5651;0,5549;763/1350  - 283/510;https://www.youtube.com/watch?v=aESuYwySkXA;14:05
PT 12;0,479;0,4258;1223/2553  -  454/1066;https://www.youtube.com/watch?v=aUo5thn2Ci4;25:09m
PT 13;0,5358;0,4873;157/293 - 58/119;https://www.youtube.com/watch?v=GiCt0Cwcp-U;03:08
PT 14;0,452;0,375;132/292 -  48/128;https://www.youtube.com/watch?v=2-GllOuAYFE;07:02
PT 15;0,725;0,6235;290/400 - 111/178;https://www.youtube.com/watch?v=5pWCk8WWQcc;07:04
